Manufacturer,Asset Type,Model Name,Manufacturer Part Number
MOTOROLA,Barcode Scanner,DS6878-HC,UnknownSCNPRT001
MOTOROLA,Barcode Scanner,DS6878-HCBU0102SVW,UnknownSCNPRT002
MOTOROLA,Barcode Scanner,DS8178A-HCMF00BVMWW,UnknownSCNPRT003
ZEBRA,Barcode Scanner,DS4308-HC,DS4308-HD00007ZZWW
ZEBRA,Barcode Scanner,DS8108-HC,DS8108-HCBU2104ZVW
ZEBRA,Barcode Scanner,DS8178-HC ,DS8178-HCBU210FS5W
ZEBRA,Barcode Scanner,DS8178-HC ,DS8178-HCMF00BVMWW
NUANCE COMMUNICATIONS,Microphone,0POWM2N-005,UnknownMICPRT001
NUANCE COMMUNICATIONS,Microphone,0POWM3N3,UnknownMICPRT002
NUANCE COMMUNICATIONS,Microphone,0POWM3N9,UnknownMICPRT003
NUANCE COMMUNICATIONS,Microphone,POWERMIC,0POWM3N3-A01
NUANCE COMMUNICATIONS,Microphone,POWERMIC III,0POWM3N9-E01
NUANCE COMMUNICATIONS,Microphone,POWERMIC,0POWM4N3-E01
NUANCE COMMUNICATIONS,Microphone,POWERMIC,0POWM4N9-E01
NUANCE COMMUNICATIONS,Microphone,POWERMIC II,UnknownMICPRT004
NUANCE COMMUNICATIONS,Microphone,POWERMIC III,UnknownMICPRT005
Ergotron,Cart,NRS-Nurse,C50-3510-0
Ergotron,Cart,PHY-Physician,C50-3500-0
Ergotron,Cart,IMC-Integrated Medication Cart,SV43-2570-0
Ergotron,Cart,IMC-Integrated Medication Cart,SV43-1310-0
Ergotron,Cart,CFBASE-CareFit Base,C50-3500-0
Ergotron,Cart,HYBRID-Nurse/Physician,C50-3510-0
Ergotron,Cart,IMC-Integrated Medication Cart,SV43-1360-0
,,,
,,, 
